model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
logistic_all,CartridgeID,V20211202-G010-4,11,6,5,0.5454545454545454,0.8536733723106492,5,1,1,4,0.8333333333333334,0.8,0.8333333333333334,0.8,0.8181818181818182,0.9333333333333333,0.9484126984126984,0.16238764223322052,0.5543564130680904,5,2,4,0,0.16666666666666666,0.2,0.030053369748306635,0.5635028221864702,0.03622410863243014,0.6244653702374747
logistic_all,CartridgeID,V20211203-G005-1,9,3,6,0.3333333333333333,0.8536733723106492,3,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002161851102385879,0.3255153116917695,6,2,1,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,2.7755575615628914e-17,0.3903342879021653
logistic_all,CartridgeID,V20211203-G006-2,10,6,4,0.6,0.8536733723106492,5,1,0,4,0.8333333333333334,1.0,1.0,0.8,0.9,1.0,1.0,0.08882128440348391,0.7321207489583427,4,2,3,1,0.16666666666666666,0.0,0.030053369748306635,0.5635028221864702,0.0,0.4898908364545973
logistic_all,CartridgeID,V20211203-G015-3,11,5,6,0.45454545454545453,0.8536733723106492,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,0.025028915845325538,0.4257263080535006,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
logistic_all,CartridgeID,V20211203-G016-4,12,7,5,0.5833333333333334,0.8536733723106492,5,2,0,5,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8333333333333334,0.9714285714285715,0.982142857142857,0.07201532423784503,0.5356750158510071,5,2,4,1,0.2857142857142857,0.0,0.08221892400405678,0.6410655481673808,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211209-G017-1,11,5,6,0.45454545454545453,0.8536733723106492,5,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0027287353170296733,0.4688944264344786,6,2,2,1,0.0,0.0,0.0,0.43448246478317476,2.7755575615628914e-17,0.3903342879021653
logistic_all,CartridgeID,V20211209-G018-2,12,7,5,0.5833333333333334,0.8536733723106492,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.054299661898542816,0.6426725998158732,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211209-G019-3,11,5,6,0.45454545454545453,0.8536733723106492,2,3,1,5,0.4,0.8333333333333334,0.6666666666666666,0.625,0.6363636363636364,0.7333333333333334,0.7277777777777779,0.2596239910713346,0.4306442156020927,6,2,3,0,0.6,0.16666666666666666,0.2307242812760128,0.882379225767352,0.030053369748306635,0.5635028221864702
logistic_all,CartridgeID,V20211209-G020-4,12,7,5,0.5833333333333334,0.8536733723106492,5,2,0,5,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8333333333333334,1.0,0.9999999999999998,0.041303688942629,0.5150064459662104,5,2,4,1,0.2857142857142857,0.0,0.08221892400405678,0.6410655481673808,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211210-G021-1,11,5,6,0.45454545454545453,0.8536733723106492,4,1,0,6,0.8,1.0,1.0,0.8571428571428571,0.9090909090909091,0.9666666666666667,0.9666666666666666,0.05614785332929916,0.45785574447092864,6,2,3,0,0.2,0.0,0.03622410863243014,0.6244653702374747,2.7755575615628914e-17,0.3903342879021653
